target,tic_id,label,period_d,t0_bjd,duration_hr,depth_ppm,tmag,n_epochs_proxy
TOI-3581.01,TIC 295413003,not_planet,3.0373017,2458757.57084,4.664,6290.0,12.9875,9.021165068982116
TOI-848.01,TIC 42015200,not_planet,9.77742,2458391.66318,6.713,6740.0,11.6818,11.209501074925695
TOI-3753.01,TIC 467783290,not_planet,3.6502527,2459521.512909,2.506,9000.0,12.4332,30.02531852109855
TOI-646.01,TIC 238197709,not_planet,13.7252522,2459184.759271,3.1694157,4945.7679342,10.3001,57.89328956738586
TOI-3323.01,TIC 305512837,not_planet,3.0223957,2459386.357734,3.272,14800.0,12.7316,0.0
TOI-3216.01,TIC 306547699,not_planet,2.6985136,2459356.241304,4.856,13510.0,13.1235,10.15373796893223
TOI-6874.01,TIC 4426490,not_planet,2.668957,2460235.021932,2.7508738,17029.8720026,12.1616,20.53236526478321
TOI-1645.01,TIC 184679932,not_planet,2.1721416,2458791.425546,2.7480823,17864.5520776,9.25319,37.84283676533795
TOI-4858.01,TIC 262499797,not_planet,1.7509117,2459963.283806,1.4130673,70067.1013669,14.8083,172.13889198410175
TOI-221.01,TIC 316937670,not_planet,0.62425,2458325.342966,0.774288,954.060325,12.1535,131.6780136163396
TOI-1556.01,TIC 405794804,not_planet,1.44127,2458740.21873,2.605,2750.0,9.79455,0.0
TOI-2744.01,TIC 279989567,not_planet,0.787177,2459226.18852,1.515,1350.0,11.4746,34.80792756902196
TOI-313.01,TIC 9102327,not_planet,3.2615,2458354.54332,2.233,1652.28,11.3018,0.0
TOI-5787.01,TIC 446616059,not_planet,3.1072375,2460530.955198,4.485,737.0,9.77017,8.81812220662244
TOI-1403.01,TIC 328750515,not_planet,2.3359622,2459825.344785,6.0165684,3066.2492749,10.7387,58.64820929037293
TOI-1188.01,TIC 15247229,not_planet,8.5112,2458687.19253,3.486,4172.76,9.886581,3.219287527023216
TOI-868.01,TIC 271596418,not_planet,0.556109,2458325.748771,1.096708,172.860189,10.7109,1576.6693220214022
TOI-1964.01,TIC 242083025,not_planet,0.6466988,2459307.492086,1.0248899,1063.700888,10.7892,169.4761146920328
TOI-3672.01,TIC 50943163,not_planet,2.4254068,2458810.750472,3.323,1910.0,11.2351,0.0
TOI-1536.01,TIC 445137888,not_planet,2.013653,2459882.951315,2.1214907,822.8974252,10.3654,13.607111056373665
TOI-7345.01,TIC 243283955,not_planet,8.407133,2460570.743707,1.272,1490.0,11.9125,0.0
TOI-3357.01,TIC 412259468,not_planet,2.6535777,2459229.684104,2.1014914,1446.2753601,11.0285,30.97704657376341
TOI-3742.01,TIC 286696848,not_planet,8.9279009,2458835.622721,3.278,49560.0,12.8814,6.138060963467908
TOI-6650.03,TIC 64837857,not_planet,8.9965133,2460599.086821,2.842,988.0,10.0252,12.182497412636517
