target,label,status,error_message,period_d,duration_hr,C1_depth_ppm,C2_shape_flatbottom_ratio,C3_ingress_egress_symmetry,C4_odd_even_rel_diff,C5_secondary_eclipse_ppm,C6_centroid_shift_px,C7_phase_fold_coherence,n_epochs
TOI-6116.01,not_planet,ok,,3.12576,1.632,2148.4753,0.3314,0.9091,0.0893,78.3296,16.7833,0.8870,32
TOI-3153.01,not_planet,ok,,21.07485,1.632,7637.8635,0.8017,0.7240,nan,359.6455,0.0312,0.9182,2
TOI-1118.01,not_planet,ok,,28.07936,9.600,902368.8569,0.7000,0.5995,nan,0.0000,nan,0.0000,3
TOI-3581.01,not_planet,ok,,3.03018,2.400,1704.6491,0.7487,0.0889,0.0822,-221.8178,0.0029,0.8619,9
TOI-848.01,not_planet,ok,,23.78078,1.248,24800.5442,0.3576,0.8400,nan,201.7157,0.0039,nan,1
TOI-3753.01,not_planet,ok,,7.30043,1.248,8450.2966,0.1515,0.9779,0.1337,1584.2412,0.0004,0.9311,12
TOI-646.01,not_planet,ok,,18.00115,0.480,248.1582,0.6182,0.5693,2.0000,0.0000,0.0005,0.0000,5
TOI-3323.01,not_planet,ok,,27.17952,8.064,509403.1855,0.7000,0.4007,nan,0.0000,nan,-0.0079,3
TOI-3216.01,not_planet,ok,,2.69927,3.888,11670.3401,0.9993,0.1675,0.1477,267.4270,0.0047,0.8141,10
TOI-6874.01,not_planet,ok,,2.66789,2.400,8590.8452,0.7878,0.9819,0.0113,-69.5983,0.0003,0.9002,15
TOI-1645.01,not_planet,ok,,4.34423,2.400,14964.9331,0.2469,0.9544,0.0251,504.9536,0.0002,0.8798,16
TOI-4858.01,not_planet,ok,,1.75093,0.864,63239.5359,0.2034,0.8669,0.0592,730.7070,0.0035,0.8824,51
TOI-221.01,not_planet,ok,,13.57866,0.480,926.2822,0.9236,0.2190,2.0000,0.0000,0.0005,0.0000,5
TOI-1556.01,not_planet,ok,,1.44114,2.400,1220.9848,0.3500,0.8905,0.0642,55.0138,0.0003,0.6854,64
TOI-2744.01,not_planet,ok,,0.78632,2.016,788.6921,0.4860,0.6387,0.1958,-64.8367,0.0007,0.7777,25
TOI-313.01,not_planet,ok,,3.25165,2.016,614.9717,0.3957,0.5639,0.1613,0.0000,nan,0.1468,21
TOI-5787.01,not_planet,ok,,5.03063,0.480,613.8280,0.9563,0.9661,0.3225,-172.9840,0.0023,0.9881,5
TOI-1403.01,not_planet,ok,,4.67467,2.784,777.4700,0.9402,0.8273,0.1334,22.3899,0.0015,0.7355,20
TOI-1188.01,not_planet,ok,,8.50508,1.632,2338.7217,0.8992,0.9534,nan,-15.3837,0.0027,0.9740,3
TOI-868.01,not_planet,ok,,0.55606,0.864,168.8122,0.5322,0.7328,0.3322,10.6109,0.0001,-0.1855,157
TOI-1964.01,not_planet,ok,,28.28588,0.480,982.2020,0.6515,0.7361,nan,0.0000,0.0068,0.9044,2
TOI-3672.01,not_planet,ok,,2.42654,2.784,981.5585,0.2243,0.5907,0.2972,0.0000,nan,0.7363,32
TOI-1536.01,not_planet,ok,,2.01310,1.248,574.4252,0.7750,0.2061,0.1406,-48.1035,0.0006,0.8574,12
TOI-7345.01,not_planet,ok,,13.80878,2.784,1168.3783,0.7508,0.5611,0.4875,-67.6184,0.0059,0.7565,4
TOI-3357.01,not_planet,ok,,2.65667,1.632,1207.1791,0.4671,0.4945,0.0667,59.0311,0.0024,0.1454,25
TOI-3742.01,not_planet,ok,,17.85659,2.784,16820.4715,0.6872,0.9839,0.2230,nan,0.0030,0.8118,4
TOI-6650.03,not_planet,ok,,20.32893,5.808,8278.5484,0.5996,0.9997,0.0345,-9.3283,0.0007,0.9541,6
TOI-700,planet,ok,,16.05101,0.864,2247.1658,0.5936,0.3795,0.2032,-18.1726,0.0029,0.9074,4
V1828 Aql,eclipsing_binary_known,ok,,0.66227,0.480,25480.5210,0.7387,0.5301,nan,0.0000,0.0096,0.0000,46
