target,label,status,error_message,period_d,duration_hr,C1_depth_ppm,C2_shape_flatbottom_ratio,C3_ingress_egress_symmetry,C4_odd_even_rel_diff,C5_secondary_eclipse_ppm,C6_centroid_shift_px,C7_phase_fold_coherence,n_epochs
TOI-4584.01,planet,ok,,15.78843,2.016,727.7246,0.5095,0.0609,1.5719,29.3514,0.0006,0.3680,7
TOI-1898.01,planet,ok,,22.75998,3.888,1722.1657,0.4578,0.6723,1.9780,-5.4838,0.0006,0.8648,5
TOI-5146.01,planet,ok,,12.95274,0.480,95.4391,0.7202,0.1112,0.2710,0.0000,0.0086,0.3586,4
TOI-1055.01,planet,ok,,23.92829,3.888,207.6252,0.0000,0.0198,nan,0.0000,0.0013,0.9295,3
TOI-6109.01,planet,ok,,27.68402,9.600,621.5145,0.4101,0.3544,nan,0.0000,0.0049,0.0000,2
TOI-6872.01,planet,ok,,0.51180,9.600,58.8906,0.9308,0.7622,1.7489,nan,nan,-3.6173,178
TOI-5076.01,planet,ok,,11.95327,0.480,286.8142,0.5281,0.3436,0.0229,0.0000,0.0036,0.4649,4
TOI-5087.01,planet,ok,,0.54425,9.600,46.8428,0.6814,nan,nan,nan,nan,0.4014,127
TOI-5178.01,planet,ok,,0.51180,9.600,59.0850,0.5907,nan,nan,nan,nan,-0.2052,78
TOI-6962.01,planet,ok,,12.87944,1.248,4281.2645,0.6478,0.1831,nan,-34.3269,0.0206,nan,1
TOI-2285.01,planet,ok,,13.63471,1.632,704.8876,0.9406,0.7188,0.2869,18.2935,0.0014,0.7185,8
TOI-451.01,planet,ok,,26.68682,0.480,545.9992,0.8839,nan,nan,0.0000,nan,nan,1
TOI-5986.01,planet,ok,,0.51180,9.600,258.0632,0.8491,0.3702,nan,nan,nan,-1.9676,207
TOI-4310.01,planet,ok,,14.32803,0.480,732.1391,0.0000,0.0718,0.1360,0.0000,0.0033,0.0000,4
TOI-2420.01,planet,ok,,27.14706,2.400,471176.1078,0.7304,nan,nan,-291.6206,nan,nan,1
TOI-2018.01,planet,ok,,12.10056,0.480,545.0869,0.0000,0.8577,0.3224,0.0000,0.0014,0.5552,5
TOI-5799.01,planet,ok,,15.24262,0.480,678.0209,0.9697,0.8220,0.1645,0.0000,0.0023,0.0000,4
TOI-5520.01,planet,ok,,11.77204,9.600,149.2261,0.1534,0.7318,2.7449,0.0000,0.0080,-0.4007,6
TOI-4538.01,planet,ok,,19.76543,0.480,714.2577,0.8913,0.2660,nan,0.0000,0.0064,0.9951,3
