toi,tid,label,period_d,status,n_sectors,baseline_days_approx,n_epochs_proxy
6073.01,271424111,planet,3.2687063,ok,8,219.2,67.06016995164111
5982.01,299087490,planet,38.4787613,ok,10,274.0,7.120811344828816
2131.01,27848472,planet,1.8468345,ok,7,191.79999999999998,103.85337722465115
5081.01,203214138,planet,5.1699026,ok,4,109.6,21.199625695075955
2458.01,449197831,planet,3.7369689,ok,2,54.8,14.664291158537605
3071.01,452006073,planet,1.2669382,ok,4,109.6,86.50777125514094
117.01,322307342,planet,3.5862962,ok,8,219.2,61.12155487881898
6324.01,372207328,planet,0.2792211,ok,8,219.2,785.0409585808522
4456.01,27774415,planet,4.9427985,ok,11,301.4,60.97760206085681
4438.01,22233480,planet,7.4463034,ok,5,137.0,18.39839080422106
1272.01,417948359,planet,3.3159772,ok,5,137.0,41.31512122580337
4145.01,279947414,planet,4.0664446,ok,6,164.39999999999998,40.428437165970486
6979.01,26078330,planet,8.754708,ok,5,137.0,15.648722949983025
6967.01,27635334,planet,4.7335575,ok,5,137.0,28.942291289373795
5986.01,158657354,planet,38.5835889,ok,9,246.6,6.391318356597978
1198.01,203189770,planet,3.612771,ok,5,137.0,37.92103069915032
503.01,186812530,planet,3.6773543,ok,7,191.79999999999998,52.15706302762287
2147.01,341630071,planet,26.2049782,ok,6,164.39999999999998,6.273617125161355
5005.01,282485660,planet,6.3084728,ok,2,54.8,8.686730011739133
6726.01,121490076,planet,14.2456603,ok,3,82.19999999999999,5.770178304757133
4582.01,219854519,planet,31.0343214,ok,28,767.1999999999999,24.7210174216988
1925.01,118956453,planet,2.3447752,ok,5,137.0,58.427775933488206
839.01,466840711,planet,2.4855428,ok,7,191.79999999999998,77.16624312403712
1430.01,293954617,planet,7.4341456,ok,12,328.79999999999995,44.2283508679195
1648.01,376353509,planet,7.3315684,ok,4,109.6,14.949052374659697
4010.01,352682207,planet,5.4146235,ok,4,109.6,20.241481240570096
282.01,29781292,planet,56.0045056,ok,44,1205.6,21.526839440575294
2543.01,270604417,planet,7.5427509,ok,4,109.6,14.530507695806314
4633.01,307958020,planet,271.938639,ok,39,1068.6,3.92956294820612
5716.01,298074836,planet,6.7662729,ok,11,301.4,44.54446405790106
905.01,261867566,planet,3.7395716,ok,10,274.0,73.27042487968407
4648.01,257774438,planet,15.3886607,ok,3,82.19999999999999,5.341595451513203
5027.01,361711730,planet,10.2436729,ok,6,164.39999999999998,16.048931043083186
1417.01,164173105,planet,3.0726434,ok,3,82.19999999999999,26.752209514452602
4534.01,437704321,planet,2.8492802,ok,2,54.8,19.232927670644678
2095.01,235678745,planet,17.664866,ok,40,1096.0,62.04405966057144
251.01,224225541,planet,4.9377227,ok,4,109.6,22.19646720946885
4589.01,164458714,planet,17.8335899,ok,11,301.4,16.900691430613193
150.01,271893367,planet,5.8574075,ok,36,986.4,168.40214719566634
332.01,139285832,planet,0.77685,ok,4,109.6,141.0825770740812
4994.01,277128619,planet,21.4921464,ok,7,191.79999999999998,8.924190093921936
471.01,47911178,planet,3.5857076,ok,2,54.8,15.282897021497234
4455.01,138644215,planet,1.5449334,ok,6,164.39999999999998,106.41235408594311
4462.01,76420654,planet,4.9133022,ok,2,54.8,11.153394961132248
1806.01,166648874,planet,15.1512051,ok,2,54.8,3.6168740135396886
5817.01,418604868,planet,15.6146058,ok,2,54.8,3.509534643519467
1493.01,15692883,planet,5.147905,ok,2,54.8,10.645107087251999
755.01,73228647,planet,2.5404679,ok,5,137.0,53.9270738276205
530.01,387690507,planet,6.3875739,ok,7,191.79999999999998,30.02704986317262
4483.01,209752908,planet,1.752217,ok,2,54.8,31.274665181310304
